iteration,loss,value_loss,policy_loss,wins_random_2p,wins_deepseek_2p,wins_random_4p,wins_deepseek_4p
1,25.259130477905273,0.33043915033340454,24.928691864013672,,,,
2,9.395352363586426,0.29663392901420593,9.098718643188477,,,,
1,17.883739471435547,0.29422664642333984,17.58951187133789,,,,
1,25.76445198059082,0.21695315837860107,25.54749870300293,,,,
2,8.918774604797363,0.29485565423965454,8.623918533325195,,,,
3,9.566258430480957,0.265625,9.300633430480957,,,,
4,6.365646839141846,0.302734375,6.062912464141846,,,,
5,5.833685398101807,0.29689374566078186,5.536791801452637,,,,
6,5.8010358810424805,0.3245966136455536,5.476439476013184,,,,
7,5.5620269775390625,0.31940245628356934,5.242624282836914,,,,
8,5.70093297958374,0.29074227809906006,5.410190582275391,,,,
9,6.612110137939453,0.3258238136768341,6.286286354064941,,,,
10,5.712362766265869,0.3448365330696106,5.367526054382324,,,,
11,5.542311191558838,0.33729246258735657,5.205018520355225,,,,
12,5.450382709503174,0.3280809223651886,5.1223015785217285,,,,
13,5.378136157989502,0.2933788299560547,5.084757328033447,,,,
14,5.492074489593506,0.2208695113658905,5.271204948425293,,,,
15,5.427768230438232,0.2451361119747162,5.182631969451904,,,,
16,5.42014741897583,0.2137332260608673,5.206414222717285,,,,
17,5.314131736755371,0.2700518071651459,5.044079780578613,,,,
18,5.3154616355896,0.25242289900779724,5.0630388259887695,,,,
19,5.406530857086182,0.2531283497810364,5.153402328491211,,,,
20,5.318357944488525,0.2224934995174408,5.095864295959473,,,,
21,5.43259334564209,0.28113409876823425,5.151459217071533,,,,
22,5.390464782714844,0.28772473335266113,5.1027398109436035,,,,
23,5.26673698425293,0.2055286467075348,5.061208248138428,,,,
24,5.307711601257324,0.22292077541351318,5.0847907066345215,,,,
25,5.289926528930664,0.19948869943618774,5.090437889099121,,,,
26,5.220466613769531,0.1994728147983551,5.020993709564209,,,,
27,5.257264137268066,0.2049941122531891,5.05226993560791,,,,
28,5.319429874420166,0.20735658705234528,5.1120734214782715,,,,
29,5.390153884887695,0.36712002754211426,5.023033618927002,,,,
30,5.321704864501953,0.14981278777122498,5.171892166137695,,,,
31,5.226391315460205,0.11456993222236633,5.111821174621582,,,,
32,5.2062249183654785,0.14570370316505432,5.060521125793457,,,,
33,5.13955545425415,0.13416719436645508,5.005388259887695,,,,
34,5.157614707946777,0.15507417917251587,5.002540588378906,,,,
35,5.108176231384277,0.13906313478946686,4.969112873077393,,,,
36,5.128875255584717,0.12142865359783173,5.007446765899658,,,,
37,5.097793102264404,0.12569935619831085,4.97209358215332,,,,
38,4.935891628265381,0.09659910202026367,4.839292526245117,,,,
39,4.91914701461792,0.1146974265575409,4.804449558258057,,,,
40,4.9276604652404785,0.1010577529668808,4.826602935791016,,,,
41,5.063086986541748,0.10620491206645966,4.956881999969482,,,,
42,4.760388374328613,0.1256454885005951,4.634742736816406,,,,
43,4.755780220031738,0.07729741930961609,4.678483009338379,,,,
44,4.864038467407227,0.12441707402467728,4.739621162414551,,,,
45,4.79585075378418,0.09445035457611084,4.701400279998779,,,,
46,4.888225078582764,0.10114046931266785,4.787084579467773,,,,
47,4.745682716369629,0.09533020108938217,4.650352478027344,,,,
48,4.890778064727783,0.2918362319469452,4.598941802978516,,,,
49,4.952356815338135,0.2446456402540207,4.707711219787598,,,,
50,4.950318813323975,0.2042926549911499,4.746026039123535,6,0,3,0
51,4.826500415802002,0.22542153298854828,4.601078987121582,,,,
52,4.519395351409912,0.12909439206123352,4.390300750732422,,,,
53,4.389200687408447,0.10223080217838287,4.2869696617126465,,,,
54,4.480635643005371,0.1161017119884491,4.3645339012146,,,,
55,4.604983806610107,0.11809495836496353,4.486888885498047,,,,
56,4.524698734283447,0.09421519935131073,4.430483341217041,,,,
57,4.638936996459961,0.15084393322467804,4.48809289932251,,,,
58,4.652623653411865,0.07616081088781357,4.576462745666504,,,,
59,4.532577037811279,0.07516033947467804,4.457416534423828,,,,
60,4.487281322479248,0.06304024159908295,4.424241065979004,,,,
61,4.529278755187988,0.10509215295314789,4.424186706542969,,,,
62,4.453143119812012,0.13288891315460205,4.320254325866699,,,,
63,4.55596923828125,0.11305218935012817,4.4429168701171875,,,,
64,4.373999118804932,0.11688242852687836,4.257116794586182,,,,
65,4.4532294273376465,0.10622303187847137,4.347006320953369,,,,
66,4.531309127807617,0.08694131672382355,4.4443678855896,,,,
67,4.486616611480713,0.11687945574522018,4.369737148284912,,,,
68,4.382696151733398,0.07888486981391907,4.303811073303223,,,,
69,4.582326889038086,0.20475341379642487,4.377573490142822,,,,
70,4.287446022033691,0.07283297926187515,4.21461296081543,,,,
71,4.589528560638428,0.10023409873247147,4.489294528961182,,,,
